,text,label
0,хоть я и школотый но поверь у мы то же самый общество профилировать предмет тип,1
1,да всетаки он немного похожий на он но мой мальчик весь равно хороший,1
2,ну ты идиотка я испугаться за ты,1
3,кто то в угол сидеть и погибать от голод а мы ещё порция взять хотя уже и так жрать не хотеть,1
4,вот что значит страшилка но блинпосмотреть весь частиу ты создаться ощущениечто автор курить чтоть,1
5,ну любить или нет я не знать кто ты бля,1
6,ох ну это конечно же чтобы у нея быть много друг ведь она такой мимими,1
7,у ты есть ухажёр нет мой ухо не кто не жрать,1
8,поприветствовать мой новое читатель,1
9,теперь у я есть частичка сидней,1
10,любить мама и папуа в остальной я таквлюбляться привязываться,1
11,както я забыть что вчера приехать из деревня наш котэнить и испугаться когда он утром прийти к я общаться добрый у,1
12,так быть задумать да,1
13,дааааата ты ты и только ты,1
14,о нет вы ведь весь равно обзор урезать просто один версия сильно порезать а другой полный только без мусор,1
15,смотреть там случайно в аспирантура не попасть наука никто до добро не доводить,1
16,эхх а в угата о контрольный предупреждать уже на контрольный,1
17,а а то подумать что у ты там пробежечка,1
18,зря вы с этот хуйный шутить я много история наблюдать в режим рил время по работа с русский который разбиваться на они,1
19,очень главный спасибо медведа он работать клоуноманиматор,1
20,у мы есть прекрасный история как сдохнуть за неделя,1
21,сегодня столько повод выпить что я уже не мочь усидеть на место,1
22,унылыйнаверноевдруг он перед это чпокнуль,1
23,при поддержка администрация мо белевский район сборная белевский район по,1
24,поприветствовать мой новое читатель,1
25,как же хооорошо валяться но мой бедный обколоть попец хотеть на прогулка,1
26,хоть у кто то заестись весь настюха рада за ты пиздец прям искренне рада есть весь же справедливость на свет,1
27,да почему я похуй тоноверный потому что ещё не ночь тёмный,1
28,блинхотеться писать и писатьвсякий хуйня пишуно весь равно хотеться,1
29,а я хотя бы рассказать что по чем,1
30,для ты,1
31,я по первое не смотрюпоэтый качать в инетенайти группа в вк оттепельт думать весь серия есть,1
32,предвкушение потрясать уикенд праздник свет гулять ночь напролёт и любоваться огонь,1
0,на работа быть полный пиддес и так каждый закрытие месяц я же свихнуться так,-1
1,коллега сидеть рубиться в а я изз долбать винд не мочь,-1
2,как говорят обещаной три год ждать,-1
3,желать хороший полёт и удачный посадкия быть очень сильно скучать,-1
4,обновить за какимтый леший теперь не работать простоплеер,-1
5,котёнок вчера носик разбить плакать и расстраиваться,-1
6,заслать а то он опять затихариться я прямо физически страдать когда он долго молчать,-1
7,а вообще я не болеть я не выздоравливать,-1
8,я микрофраза учиться срать кирпич в режим нонстопа,-1
9,я хотеть с ты помириться но сук я гордый и никогда это не сделать,-1
10,ты ебета какой у я фоткия про твой молчуя вообще ты хоть знаешь как тп то выглядеть,-1
11,блин начать сниться сон не когда почти не сниться а теперь можно сказать каждый день такой я это не нравиться,-1
12,на твой место я бы сначала телек купить бы,-1
13,плохо бояться значит ты где в мск бгр,-1
14,а я хотеть электромобиль,-1
15,скоро увидеть твой зелёный глаз в последний раз,-1
16,вот это да докатилсяпооранжеветь патриот чо деяться бабка объединить кпрф и навальный,-1
17,ну уже ночииия а я ничто не сделалаллалалалалалалвцмдэмппдпктцдкиицкп,-1
18,я очень радать ты имя разбить сердцамна они жалко ептмна оч жалко владаа весь остальной нет,-1
19,сегодня какойтый нехороший день у я телефон наушник не опознать у блог както умудриться шаблон сломать да ещё,-1
20,думаюна мыть век почта россия не подняться с дно,-1
21,я один напоминать дом путин делать реалитишоу,-1
22,ебааааа сейчас модуль быть по региональный экономика,-1
23,оооууа ты я анфолловить чувак,-1
